,CompetitionId,DurationInt,Is_X23,M21_3,M21_7,M21_15,M21_30,M21_deadline
185,3366.0,42.0,0.0,216.0,312.0,470.0,634.0,734.0
186,3370.0,158.0,0.0,232.0,400.0,832.0,1143.0,2290.0
187,3377.0,41.0,0.0,211.0,317.0,560.0,798.0,946.0
188,3383.0,63.0,1.0,1.0,1.0,1.0,1.0,5.0
189,3384.0,17.0,0.0,0.0,0.0,0.0,0.0,
190,3385.0,31.0,0.0,101.0,152.0,195.0,300.0,301.0
191,3386.0,65.0,0.0,53.0,98.0,158.0,235.0,354.0
192,3387.0,54.0,1.0,0.0,0.0,0.0,0.0,
193,3412.0,2.0,0.0,0.0,0.0,0.0,0.0,
194,3414.0,49.0,1.0,39.0,74.0,127.0,136.0,139.0
195,3420.0,59.0,1.0,11.0,19.0,45.0,60.0,60.0
196,3421.0,9.0,1.0,7.0,48.0,57.0,57.0,57.0
197,3425.0,60.0,1.0,0.0,0.0,0.0,0.0,
198,3427.0,33.0,1.0,0.0,2.0,5.0,7.0,7.0
199,3429.0,49.0,1.0,0.0,0.0,0.0,0.0,
200,3435.0,9.0,1.0,9.0,40.0,51.0,51.0,51.0
201,3436.0,25.0,1.0,0.0,0.0,0.0,0.0,
202,3438.0,60.0,0.0,0.0,0.0,0.0,0.0,
203,3439.0,58.0,0.0,0.0,0.0,0.0,0.0,
204,3443.0,47.0,1.0,0.0,0.0,0.0,0.0,
205,3445.0,70.0,0.0,803.0,1278.0,1648.0,2108.0,2697.0
206,3446.0,54.0,0.0,247.0,417.0,583.0,802.0,1135.0
207,3465.0,71.0,1.0,0.0,0.0,0.0,0.0,
208,3466.0,36.0,1.0,0.0,0.0,0.0,0.0,
209,3467.0,17.0,0.0,9.0,12.0,21.0,22.0,22.0
210,3470.0,19.0,1.0,0.0,0.0,0.0,0.0,
211,3471.0,42.0,0.0,67.0,99.0,170.0,232.0,265.0
212,3477.0,130.0,0.0,98.0,187.0,360.0,806.0,2361.0
213,3478.0,6.0,1.0,0.0,0.0,0.0,0.0,
214,3483.0,3.0,1.0,0.0,0.0,0.0,0.0,
215,3484.0,3.0,1.0,0.0,0.0,0.0,0.0,
216,3488.0,17.0,1.0,0.0,0.0,0.0,0.0,
217,3492.0,3.0,1.0,0.0,0.0,0.0,0.0,
218,3495.0,19.0,0.0,2.0,6.0,11.0,15.0,15.0
219,3496.0,9.0,1.0,0.0,0.0,0.0,0.0,
220,3497.0,16.0,0.0,21.0,37.0,77.0,80.0,80.0
221,3501.0,39.0,1.0,6.0,12.0,41.0,99.0,239.0
222,3504.0,62.0,0.0,331.0,534.0,942.0,1518.0,2250.0
223,3507.0,40.0,0.0,0.0,0.0,64.0,300.0,415.0
224,3509.0,38.0,0.0,64.0,91.0,196.0,371.0,436.0
225,3512.0,11.0,1.0,0.0,0.0,0.0,0.0,
226,3516.0,122.0,1.0,1.0,2.0,2.0,2.0,15.0
227,3517.0,63.0,0.0,184.0,253.0,408.0,541.0,794.0
228,3521.0,51.0,0.0,504.0,647.0,946.0,1421.0,1881.0
229,3524.0,122.0,0.0,198.0,341.0,763.0,1108.0,2867.0
230,3525.0,13.0,1.0,0.0,0.0,0.0,0.0,
231,3526.0,76.0,0.0,299.0,474.0,745.0,1094.0,1946.0
232,3529.0,114.0,1.0,1.0,4.0,4.0,4.0,12.0
233,3531.0,28.0,1.0,2.0,3.0,3.0,4.0,4.0
234,3532.0,91.0,0.0,94.0,184.0,355.0,656.0,1398.0
235,3533.0,71.0,1.0,0.0,1.0,6.0,10.0,92.0
236,3536.0,29.0,1.0,38.0,43.0,48.0,51.0,51.0
237,3539.0,112.0,0.0,1218.0,1534.0,2079.0,2685.0,4935.0
238,3540.0,46.0,0.0,393.0,599.0,917.0,1255.0,1568.0
239,3552.0,103.0,1.0,9.0,11.0,15.0,15.0,18.0
240,3555.0,89.0,1.0,33.0,46.0,58.0,72.0,78.0
241,3556.0,96.0,1.0,4.0,6.0,6.0,7.0,13.0
242,3557.0,96.0,1.0,1.0,3.0,3.0,5.0,12.0
243,3558.0,96.0,1.0,1.0,4.0,4.0,6.0,12.0
244,3559.0,96.0,1.0,1.0,3.0,3.0,5.0,12.0
245,3560.0,95.0,1.0,1.0,3.0,3.0,4.0,12.0
246,3564.0,81.0,1.0,1.0,1.0,2.0,6.0,17.0
247,3565.0,48.0,1.0,11.0,14.0,17.0,20.0,26.0
248,3574.0,65.0,1.0,0.0,0.0,6.0,47.0,47.0
249,3578.0,20.0,1.0,0.0,0.0,31.0,45.0,45.0
250,3581.0,74.0,1.0,54.0,147.0,176.0,182.0,192.0
251,3582.0,12.0,0.0,25.0,54.0,103.0,103.0,103.0
252,3583.0,24.0,1.0,0.0,0.0,2.0,9.0,9.0
253,3584.0,18.0,1.0,0.0,13.0,42.0,42.0,42.0
254,3585.0,57.0,1.0,2.0,2.0,17.0,40.0,50.0
255,3586.0,65.0,0.0,155.0,257.0,394.0,696.0,1463.0
256,3592.0,61.0,1.0,26.0,46.0,70.0,70.0,73.0
257,3594.0,16.0,1.0,8.0,15.0,23.0,23.0,23.0
258,3596.0,26.0,1.0,11.0,26.0,38.0,53.0,53.0
259,3597.0,26.0,1.0,5.0,15.0,24.0,48.0,48.0
260,3598.0,61.0,1.0,0.0,0.0,2.0,48.0,70.0
261,3599.0,60.0,0.0,165.0,256.0,462.0,817.0,1751.0
262,3602.0,54.0,0.0,2.0,3.0,10.0,30.0,55.0
263,3603.0,14.0,1.0,3.0,9.0,22.0,22.0,22.0
264,3611.0,114.0,0.0,22.0,37.0,39.0,267.0,1669.0
265,3613.0,22.0,1.0,3.0,4.0,4.0,12.0,12.0
266,3616.0,16.0,1.0,19.0,29.0,52.0,52.0,52.0
267,3617.0,52.0,0.0,4.0,7.0,9.0,11.0,23.0
268,3618.0,60.0,1.0,31.0,50.0,65.0,74.0,91.0
269,3620.0,33.0,1.0,4.0,5.0,31.0,37.0,37.0
270,3632.0,66.0,1.0,17.0,30.0,49.0,95.0,95.0
271,3633.0,9.0,1.0,10.0,18.0,21.0,21.0,21.0
272,3634.0,90.0,0.0,131.0,213.0,361.0,567.0,1166.0
273,3636.0,50.0,1.0,4.0,4.0,10.0,17.0,31.0
274,3638.0,139.0,0.0,74.0,98.0,154.0,244.0,883.0
275,3640.0,45.0,1.0,1.0,5.0,7.0,19.0,30.0
276,3642.0,26.0,1.0,39.0,56.0,62.0,64.0,64.0
277,3645.0,39.0,0.0,34.0,61.0,101.0,177.0,204.0
278,3646.0,27.0,1.0,3.0,6.0,7.0,10.0,10.0
279,3647.0,20.0,1.0,13.0,14.0,15.0,15.0,15.0
280,3648.0,12.0,1.0,2.0,4.0,9.0,9.0,9.0
281,3651.0,20.0,1.0,3.0,12.0,30.0,33.0,33.0
282,3655.0,48.0,1.0,7.0,13.0,18.0,23.0,42.0
283,3656.0,50.0,0.0,4.0,6.0,11.0,25.0,37.0
284,3658.0,16.0,1.0,3.0,7.0,8.0,8.0,8.0
285,3659.0,38.0,1.0,1.0,30.0,53.0,79.0,82.0
286,3660.0,38.0,1.0,0.0,0.0,16.0,18.0,18.0
287,3661.0,36.0,1.0,11.0,16.0,18.0,24.0,24.0
288,3669.0,23.0,1.0,14.0,29.0,60.0,85.0,85.0
289,3670.0,55.0,0.0,756.0,952.0,1298.0,1730.0,2032.0
290,3671.0,111.0,1.0,13.0,13.0,13.0,14.0,14.0
291,3690.0,14.0,1.0,14.0,25.0,36.0,36.0,36.0
292,3706.0,91.0,0.0,208.0,366.0,621.0,894.0,2909.0
293,3722.0,75.0,1.0,4.0,4.0,4.0,6.0,7.0
294,3729.0,30.0,0.0,6.0,9.0,14.0,29.0,29.0
295,3731.0,25.0,0.0,45.0,66.0,107.0,173.0,173.0
296,3742.0,44.0,1.0,9.0,13.0,20.0,27.0,30.0
297,3744.0,16.0,1.0,5.0,17.0,46.0,46.0,46.0
298,3746.0,19.0,1.0,5.0,5.0,5.0,7.0,7.0
299,3747.0,65.0,1.0,3.0,4.0,4.0,4.0,7.0
300,3750.0,13.0,1.0,17.0,27.0,31.0,31.0,31.0
