CompetitionId,M22_3,M22_7,M22_15,M22_30,M22_deadline,M23_3,M23_7,M23_15,M23_30,M23_deadline,M24_3,M24_7,M24_15,M24_30,M24_deadline,M23_IsClamped,M22_IsClamped
2435.0,0.6666666666666666,0.8571428571428571,0.8,0.49056603773584906,0.4915254237288136,0.0,0.0,0.0,1.0,1.0,,,,0.7111111111111111,0.5901060070671378,1.0,
2438.0,0.15942028985507245,0.46226415094339623,0.5433070866141733,0.5433070866141733,0.5433070866141733,0.0,0.0,0.0,0.0,,,,,,,,
2439.0,0.006944444444444444,0.0392156862745098,0.09883720930232558,0.1568627450980392,0.27419354838709675,0.7986111111111112,1.0,1.0,1.0,1.0,0.991304347826087,0.9685863874345549,0.9411764705882353,0.9262672811059908,0.8247422680412371,1.0,
2442.0,0.10144927536231885,0.42452830188679247,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.0,0.0,0.0,0.0,,,,,,,,
2445.0,0.010297482837528604,0.01545253863134658,0.029227557411273485,0.06978967495219886,0.15196078431372548,0.2345537757437071,0.26379690949227375,0.29018789144050106,0.3384321223709369,0.438375350140056,0.9560975609756097,0.9414225941422594,0.8992805755395683,0.7937853107344632,0.6533546325878594,,
2447.0,0.08243727598566308,0.12709030100334448,0.18944099378881987,0.28,0.39457831325301207,0.6702508960573477,0.7525083612040134,0.8322981366459627,1.0,0.9668674698795181,0.8770053475935828,0.8311111111111111,0.7723880597014925,0.7272727272727273,0.5919003115264798,1.0,
2448.0,0.009708737864077669,0.012461059190031152,0.01977401129943503,0.030534351145038167,0.133630289532294,0.3268608414239482,0.3707165109034268,0.4491525423728814,0.5368956743002544,0.5679287305122495,0.9702970297029703,0.9663865546218487,0.9559748427672956,0.943127962085308,0.7647058823529411,,
2452.0,0.006382978723404255,0.006172839506172839,0.009671179883945842,0.025996533795493933,0.06835066864784546,0.08936170212765958,0.10082304526748971,0.12959381044487428,0.2045060658578856,0.2674591381872214,0.9285714285714286,0.9387755102040817,0.9253731343283582,0.8728813559322034,0.7444444444444445,,
2454.0,0.0106951871657754,0.01232394366197183,0.017094017094017096,0.021172638436482084,0.04592240696753761,0.0766488413547237,0.10387323943661972,0.1264957264957265,0.15309446254071662,0.14806017418844022,0.8604651162790697,0.8813559322033898,0.8648648648648649,0.8617021276595744,0.6898395721925134,,
2464.0,0.011254019292604502,0.01694915254237288,0.0310192023633678,0.041820418204182044,0.13479923518164436,0.15112540192926044,0.18335901386748846,0.24372230428360414,0.3456334563345633,0.3824091778202677,0.925531914893617,0.907563025210084,0.8727272727272728,0.8790035587188612,0.6475,,
