,CompetitionId,DurationInt,M11_3,M11_7,M11_15,M11_30,M12,M13_3,M13_7,M13_15,M13_30,M13_D7,M13_D15,M13_D30,M13_Ddeadline
0,2435.0,97.0,4.0,17.0,78.0,144.0,855.0,0.004678362573099415,0.019883040935672516,0.0912280701754386,0.16842105263157894,0.015204678362573101,0.07134502923976609,0.07719298245614034,0.8315789473684211
1,2438.0,9.0,11.0,49.0,68.0,68.0,68.0,0.16176470588235295,0.7205882352941176,1.0,1.0,0.5588235294117647,0.27941176470588236,0.0,0.0
2,2439.0,110.0,8.0,68.0,123.0,205.0,1483.0,0.005394470667565745,0.045853000674308836,0.08293998651382332,0.13823331085637222,0.04045853000674309,0.03708698583951449,0.0552933243425489,0.8617666891436278
3,2442.0,9.0,7.0,45.0,63.0,63.0,63.0,0.1111111111111111,0.7142857142857143,1.0,1.0,0.6031746031746033,0.2857142857142857,0.0,0.0
4,2445.0,70.0,49.0,124.0,391.0,1112.0,2800.0,0.0175,0.04428571428571428,0.13964285714285715,0.39714285714285713,0.02678571428571428,0.09535714285714286,0.25749999999999995,0.6028571428571429
5,2447.0,107.0,136.0,283.0,564.0,1137.0,3227.0,0.04214440656956926,0.08769755190579485,0.1747753331267431,0.3523396343352959,0.04555314533622559,0.08707778122094824,0.17756430120855282,0.6476603656647041
6,2448.0,42.0,22.0,34.0,59.0,203.0,477.0,0.04612159329140461,0.07127882599580712,0.12368972746331237,0.42557651991614254,0.02515723270440251,0.05241090146750525,0.3018867924528302,0.5744234800838575
7,2452.0,63.0,40.0,75.0,114.0,260.0,695.0,0.05755395683453238,0.1079136690647482,0.16402877697841728,0.37410071942446044,0.05035971223021582,0.05611510791366908,0.21007194244604316,0.6258992805755396
8,2454.0,121.0,17.0,26.0,40.0,99.0,558.0,0.03046594982078853,0.04659498207885305,0.07168458781362007,0.1774193548387097,0.01612903225806452,0.02508960573476702,0.10573476702508962,0.8225806451612903
9,2464.0,65.0,23.0,53.0,129.0,350.0,1124.0,0.020462633451957295,0.04715302491103203,0.11476868327402136,0.3113879003558719,0.026690391459074734,0.06761565836298933,0.19661921708185054,0.6886120996441281
10,2467.0,83.0,74.0,168.0,426.0,868.0,3129.0,0.023649728347714925,0.053691275167785234,0.1361457334611697,0.27740492170022374,0.03004154682007031,0.08245445829338446,0.14125918823905403,0.7225950782997763
11,2478.0,50.0,51.0,156.0,338.0,653.0,1402.0,0.03637660485021398,0.11126961483594865,0.24108416547788872,0.4657631954350927,0.07489300998573467,0.12981455064194009,0.22467902995720399,0.5342368045649073
12,2479.0,87.0,23.0,63.0,211.0,448.0,1563.0,0.01471529110684581,0.04030710172744722,0.13499680102367242,0.2866282789507358,0.02559181062060141,0.0946896992962252,0.15163147792706336,0.7133717210492643
13,2487.0,86.0,23.0,74.0,129.0,209.0,731.0,0.03146374829001368,0.1012311901504788,0.17647058823529413,0.2859097127222982,0.06976744186046512,0.07523939808481533,0.10943912448700407,0.7140902872777017
14,2488.0,41.0,11.0,25.0,57.0,105.0,139.0,0.07913669064748201,0.17985611510791366,0.41007194244604317,0.7553956834532374,0.10071942446043165,0.2302158273381295,0.3453237410071942,0.24460431654676262
