,CompetitionId,DurationInt,M14_3,M14_7,M14_15,M14_30,M15,M43,M16_3,M16_7,M16_15,M16_30,M44,M45,M46
0,2435.0,97.0,2.0,6.0,16.0,26.0,116.0,42.0,0.017241379310344827,0.05172413793103448,0.13793103448275862,0.22413793103448276,0.6379310344827587,0.01675257731958763,0.01004265908282972
1,2438.0,9.0,11.0,49.0,69.0,69.0,69.0,22.0,0.15942028985507245,0.7101449275362319,1.0,1.0,0.6811594202898551,0.021900161030595812,0.0
2,2439.0,110.0,1.0,6.0,17.0,32.0,153.0,55.0,0.006535947712418301,0.0392156862745098,0.1111111111111111,0.20915032679738563,0.6405228758169934,0.016565656565656565,0.014022578728461082
3,2442.0,9.0,7.0,45.0,64.0,64.0,64.0,22.0,0.109375,0.703125,1.0,1.0,0.65625,0.021875,0.0
4,2445.0,70.0,9.0,14.0,28.0,73.0,217.0,66.0,0.041474654377880185,0.06451612903225806,0.12903225806451613,0.33640552995391704,0.695852534562212,0.08973008558262015,0.004476629361421988
5,2447.0,107.0,23.0,38.0,61.0,105.0,262.0,66.0,0.08778625954198473,0.1450381679389313,0.23282442748091603,0.40076335877862596,0.7480916030534351,0.05721623742598274,0.025183705500463723
6,2448.0,42.0,3.0,4.0,7.0,12.0,60.0,22.0,0.05,0.06666666666666667,0.11666666666666667,0.2,0.6333333333333333,0.09345238095238095,0.012698412698412698
7,2452.0,63.0,3.0,3.0,5.0,15.0,46.0,16.0,0.06521739130434782,0.06521739130434782,0.10869565217391304,0.32608695652173914,0.6521739130434783,0.07809983896940419,0.018978605935127672
8,2454.0,121.0,6.0,7.0,10.0,13.0,58.0,23.0,0.10344827586206896,0.1206896551724138,0.1724137931034483,0.22413793103448276,0.603448275862069,0.03925619834710744,0.003134796238244514
9,2464.0,65.0,7.0,11.0,21.0,34.0,141.0,41.0,0.04964539007092199,0.07801418439716312,0.14893617021276595,0.24113475177304963,0.7092198581560284,0.06012002182214948,0.010692853246044735
