,M26_AU,M26_CA,M26_CN,M26_DE,M26_ES,M26_FR,M26_GB,M26_IN,M26_NL,M26_RU,M26_TW,M26_US,CompetitionId,M27_AU,M27_CA,M27_CN,M27_DE,M27_ES,M27_FR,M27_GB,M27_IN,M27_NL,M27_RU,M27_TW,M27_US,M28_IsClamped,M28_AU,M28_CA,M28_CN,M28_DE,M28_ES,M28_FR,M28_GB,M28_IN,M28_NL,M28_RU,M28_TW,M28_US
303,1,0,0,0,0,0,0,0,0,0,0,71,3844.0,138.0,217.0,591.0,160.0,87.0,123.0,432.0,457.0,52.0,363.0,110.0,3232.0,,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021967821782178217
304,0,0,0,0,0,0,0,0,0,0,0,167,3848.0,136.0,219.0,595.0,162.0,92.0,128.0,437.0,461.0,55.0,375.0,111.0,3322.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050270921131848285
305,0,0,0,0,0,0,0,0,0,0,0,8,3849.0,115.0,225.0,637.0,169.0,104.0,135.0,452.0,474.0,64.0,374.0,115.0,3741.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021384656508954825
306,0,0,0,0,0,0,0,0,0,0,0,13,3850.0,136.0,263.0,684.0,213.0,135.0,165.0,534.0,561.0,139.0,396.0,144.0,4190.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031026252983293555
307,0,0,1,1,0,0,0,0,0,0,0,27,3851.0,118.0,229.0,647.0,172.0,106.0,138.0,456.0,483.0,68.0,369.0,134.0,3803.0,,0.0,0.0,0.0015455950540958269,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007099658164606889
308,0,0,0,0,0,0,0,0,0,0,0,32,3855.0,131.0,256.0,671.0,200.0,124.0,155.0,509.0,540.0,129.0,390.0,143.0,4065.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007872078720787207
309,0,0,0,0,0,0,0,0,0,12,0,0,3856.0,135.0,226.0,612.0,166.0,100.0,128.0,443.0,449.0,57.0,379.0,113.0,3641.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316622691292876,0.0,0.0
310,0,0,0,0,0,0,0,0,49,0,0,0,3858.0,140.0,269.0,699.0,225.0,146.0,180.0,554.0,581.0,164.0,400.0,147.0,4292.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29878048780487804,0.0,0.0,0.0
311,0,0,0,0,0,0,0,0,0,6,0,0,3859.0,195.0,295.0,813.0,251.0,173.0,208.0,627.0,673.0,177.0,420.0,152.0,4732.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0
312,0,0,0,0,0,0,0,0,0,29,0,0,3860.0,138.0,224.0,603.0,164.0,97.0,128.0,441.0,447.0,56.0,379.0,112.0,3575.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07651715039577836,0.0,0.0
313,0,1,0,0,0,0,0,1,1,0,0,0,3861.0,232.0,323.0,857.0,268.0,191.0,221.0,673.0,799.0,191.0,440.0,158.0,5040.0,,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0012515644555694619,0.005235602094240838,0.0,0.0,0.0
314,0,0,167,0,0,0,0,0,0,0,0,3,3866.0,195.0,295.0,813.0,251.0,173.0,208.0,627.0,673.0,177.0,420.0,152.0,4732.0,,0.0,0.0,0.2054120541205412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006339814032121725
