Id,X14,X15,X25,X26,X27,X31,PrepDays,DurationInt,DayOfYear,DayOfWeek,M9_3,M9_7,M9_15,M9_30,M10_3,M10_7,M10_15,M10_30,M10_deadline,M13_3,M13_7,M13_15,M13_30,M15,M16_3,M16_7,M16_15,M16_30,M44,M45,M46,M19,M22_3,M22_7,M22_15,M22_30,M22_deadline,M24_30,M24_deadline
3814,-0.6408790354974802,-0.5024592248217891,1.3687678012302213,-0.5577521329725103,0.5848140173972003,0.07351718946834963,-1.0464746400192277,-1.614076056083738,-1.3325074756487838,-0.6499773206999647,-1.7873391635306572,0.326690672813689,0.6064541841625232,0.462615234540716,-0.7634853216753471,1.6841639811506268,1.3553324986177668,1.2961529982212103,1.270291863777359,2.3909678228321996,1.8550797642019645,1.236041939151706,0.7390967750272308,-0.7106459131782661,2.3625433030429304,1.8852621378007353,1.2624443053568377,0.7627617791984279,-0.033681710571373605,-0.4843960527615131,-0.006991622411454051,-1.056200257955322,-0.46288883626493454,-0.5971529176747303,-0.8672480927970978,-1.1500226099893298,-1.5964867105313536,-0.5681655022581658,-0.20293294463818257
3816,-0.6408790354974802,-0.5024592248217891,-0.06645043002541788,-0.5577521329725103,-1.7099453334790722,1.0476957915294092,0.9177801617067585,0.8317428914943629,-1.1248300050193614,0.5030537002960414,-0.6866060873037606,-0.5864722323832765,-0.8168856210955847,-1.1841054137940863,1.2171417261049058,1.086181803054096,0.9578258444868519,0.8798535475964524,1.2009023237433885,-0.007054598487561174,-0.10209186549843677,-0.3152153697598545,-0.4908565638952013,1.9917108082600055,0.2222419707599476,0.15110810362496965,-0.08801750029833227,-0.33422240323402086,-1.057619588907462,0.18051808468007907,-0.15576017201108233,-1.056200257955322,-0.404709479157994,-0.4986118182457797,-0.7016466523694223,-0.8621041536474641,-0.8265777860008209,0.7247826165263533,0.9373076008203796
3819,-0.6408790354974802,-0.5024592248217891,-0.06645043002541788,0.5684354577306557,-1.7099453334790722,-0.9087735612203363,0.17193433739484,-0.5248442690908595,-1.260271833690724,-0.07346181020196167,-1.7873391635306572,-2.162246081468199,-0.27946244103935913,0.462615234540716,-0.7634853216753471,-0.8195599483689323,0.5434394810028595,0.4517496284949837,0.44700083093576515,-1.0477408575993934,-1.3855276652746236,0.20556735619409017,0.7390967750272308,-0.3094978164416032,-0.8564598037117357,-1.1233926839141786,0.17659752298907927,0.7627617791984279,0.6323741280884696,0.41607180518641573,-0.218882481730678,1.4655048235975507,-0.5157617369550997,-0.6559790803744812,0.27476440150221637,0.8888856005922693,0.4918198945977506,-1.4448084729430797,-1.04402908042092
3823,-0.6408790354974802,-0.5024592248217891,-0.2055374474858017,-0.5577521329725103,0.5848140173972003,-0.8910735071457617,-0.4541751605770894,-0.8094055103516901,-1.2151245574669363,-1.2264928311979677,0.8648934177701639,0.7592321713320342,0.6064541841625232,0.462615234540716,-0.7634853216753471,-0.8195599483689323,-0.9275496979595508,-0.9359115053281862,-0.9059650726344924,-0.8229380182284339,-1.043344263410048,0.717225097756659,0.7390967750272308,0.37740585932241,-0.8564598037117357,-1.1233926839141786,0.47197020063362277,0.7627617791984279,0.4783156944245763,0.3935993828615875,-0.3265583813599873,1.4961976322465773,-0.5157617369550997,-0.6559790803744812,0.3159764613386454,0.6382597805599595,0.23512194582639534,-2.473049258012015,-2.0305759186394368
3825,-0.6408790354974802,-0.5024592248217891,-0.06645043002541788,-0.5577521329725103,-1.7099453334790722,-0.4330373934981245,-0.7472930582688609,-1.38111860843241,-1.1970656469774215,-0.07346181020196167,0.8648934177701639,0.7592321713320342,0.6064541841625232,0.462615234540716,-0.7634853216753471,-0.8195599483689323,-0.9275496979595508,-0.9359115053281862,-0.9059650726344924,-1.0477408575993934,1.6268617371335354,1.236041939151706,0.7390967750272308,-1.7043801080830479,-0.8564598037117357,1.559178942449057,1.2624443053568377,0.7627617791984279,0.9395792349541411,1.2322446259303825,-0.3265583813599873,-1.056200257955322,-0.5157617369550997,3.05988184895834,2.235538784639801,1.6529096446040488,1.27435461063194,-0.5681655022581658,-0.20293294463818257
3826,-0.6408790354974802,-0.5024592248217891,-0.6375811854175535,-0.5577521329725103,0.5848140173972003,-0.30761866342625205,-0.6594990286468547,-1.4917636439283501,-1.1790067364879064,1.0795692107940444,0.8648934177701639,0.7592321713320342,0.6064541841625232,0.462615234540716,-0.7634853216753471,-0.8195599483689323,-0.9275496979595508,-0.9359115053281862,-0.9059650726344924,1.5679864434541113,1.833886594403448,1.236041939151706,0.7390967750272308,-0.4823694583480986,-0.8564598037117357,1.4954880229753722,1.2624443053568377,0.7627617791984279,0.9395792349541411,1.7257544560385494,-0.3265583813599873,0.5771341285892119,-0.5157617369550997,2.5125978056706777,1.9034809459393032,1.3529420144543949,0.9671194049883475,-1.2736713512000941,-0.87983136641365
3829,-0.6408790354974802,-0.5024592248217891,-0.6375811854175535,-0.5577521329725103,-1.7099453334790722,0.9964232157689199,-1.053910174648113,-0.21639100350822593,-1.1699772812431488,1.6560847212920473,0.8648934177701639,0.7592321713320342,0.6064541841625232,0.462615234540716,-0.7634853216753471,-0.8195599483689323,-0.9275496979595508,-0.9359115053281862,-0.9059650726344924,-0.5892634821862437,-0.9967748601210344,0.6380099212265203,0.7390967750272308,0.0768698041259375,-0.8564598037117357,-1.1233926839141786,0.13440398884663965,0.7627617791984279,0.7573135237609901,0.6755606995479101,-0.3265583813599873,-1.056200257955322,-0.5157617369550997,-0.6559790803744812,-0.027404321172915518,0.5918663405806892,0.18760449180832828,-1.335574820858985,-0.9392247236443111
3830,-0.6408790354974802,-0.5024592248217891,-0.6375811854175535,-0.5577521329725103,0.5848140173972003,1.0156128610264497,-0.5507678836529418,0.5489234273132828,-1.1428889155088764,-0.6499773206999647,-1.7873391635306572,-2.162246081468199,-0.7050995525856123,0.3876268731439176,-0.7634853216753471,-0.8195599483689323,1.3849626801604265,1.507509614855436,1.7860365170354526,-0.4267985074129724,-0.33827390318052364,0.591750598209808,0.7217567268277052,-0.10970832989418473,-0.8564598037117357,-0.23025661321424262,0.4329968213341531,0.7417631427027603,0.9395792349541411,-0.2839152093446561,0.05887380606050617,-1.056200257955322,-0.5157617369550997,0.2855842398041319,1.098918259181967,1.4278989918843976,1.061774904278242,-1.1307283933882002,-0.7614010210402223
3833,-0.6408790354974802,-0.5024592248217891,0.7976370458380858,-1.4096801576954623,-1.7099453334790722,-0.5143461645786432,-0.7579475330116543,-0.3825159437467999,-1.1428889155088764,-0.6499773206999647,0.8648934177701639,0.7592321713320342,0.6064541841625232,0.462615234540716,-0.7634853216753471,-0.8195599483689323,-0.9275496979595508,-0.9359115053281862,-0.9059650726344924,-1.0477408575993934,-1.3855276652746236,-0.200293037611419,0.7390967750272308,0.7629547160116998,-0.8564598037117357,-1.1233926839141786,0.10951555368366468,0.7627617791984279,0.7988236028100207,-0.1327219546949339,-0.3265583813599873,-1.056200257955322,-0.5157617369550997,-0.6559790803744812,0.5798915638553969,1.274224882710951,0.8864951251392017,-1.0301918778440768,-0.6462246975297808
