,CompetitionId,DurationInt,M10_3,M10_7,M10_15,M10_30,M10_deadline
0,2435.0,97.0,122.5945945945946,117.18604651162792,83.91891891891892,117.9,29.0
1,2438.0,9.0,0.0,0.0,0.0,0.0,0.0
2,2439.0,110.0,201.3913043478261,195.75,214.5890410958904,78.69565217391305,293.6666666666667
3,2442.0,9.0,0.0,0.0,0.0,0.0,0.0
4,2445.0,70.0,42.25,41.66666666666666,41.67857142857143,17.5,86.3
5,2447.0,107.0,87.72727272727273,89.8688524590164,90.00540540540541,171.15656565656562,187.64634146341461
6,2448.0,42.0,32.2,38.769230769230774,49.08333333333334,0.0,19.25
7,2452.0,63.0,33.75,33.75,43.57142857142857,50.89473684210525,106.0
8,2454.0,121.0,79.16666666666667,60.375,45.0,50.5,0.0
9,2464.0,65.0,63.0,59.69642857142857,61.061224489795926,34.875,106.625
10,2467.0,83.0,96.95402298850573,92.75396825396824,83.67763157894737,88.74193548387095,123.89473684210527
11,2478.0,50.0,39.653846153846146,69.325,69.24,80.0,265.77777777777777
12,2479.0,87.0,0.0,140.7,120.88235294117645,73.71052631578948,156.5125
13,2487.0,86.0,74.23762376237623,70.03252032520325,63.65,75.9,84.38028169014085
14,2488.0,41.0,45.13333333333333,52.84090909090909,121.19230769230771,66.0,53.36363636363637
15,2489.0,76.0,74.9090909090909,63.0,63.680851063829785,95.5,112.97938144329895
16,2496.0,730.0,90.3356643356643,90.02772643253235,95.71939736346516,65.91525423728814,109.1153846153846
17,2499.0,84.0,112.39285714285714,102.77083333333331,89.52702702702703,116.70370370370372,80.52631578947368
18,2509.0,92.0,174.36666666666667,152.6410256410256,119.3921568627451,75.06666666666666,61.26315789473684
19,2510.0,24.0,24.0,30.0,27.214285714285715,22.2,22.2
20,2518.0,63.0,60.213114754098356,63.01063829787234,60.529411764705884,50.228571428571435,72.64814814814815
21,2528.0,22.0,53.0,76.33333333333333,95.0,86.0,86.0
22,2545.0,19.0,0.0,0.0,0.0,0.0,0.0
23,2546.0,24.0,0.0,0.0,0.0,0.0,0.0
24,2547.0,73.0,0.0,0.0,0.0,115.2,0.0
25,2549.0,24.0,49.157894736842096,54.92307692307693,59.305555555555564,100.45098039215686,100.45098039215686
26,2551.0,87.0,59.89583333333334,88.125,84.55263157894737,83.62162162162163,86.06666666666666
27,2552.0,313.0,0.0,0.0,0.0,0.0,0.0
28,2555.0,15.0,18.5,38.42857142857143,62.41666666666666,62.41666666666666,62.41666666666666
29,2558.0,18.0,0.0,0.0,0.0,0.0,0.0
30,2559.0,9.0,0.0,0.0,0.0,0.0,0.0
31,2564.0,97.0,111.125,107.02777777777777,84.91379310344827,58.5,77.5945945945946
32,2567.0,31.0,0.0,0.0,19.714285714285715,0.0,0.0
33,2579.0,38.0,0.0,0.0,0.0,0.0,0.0
34,2583.0,21.0,0.0,0.0,0.0,0.0,0.0
35,2584.0,54.0,0.0,0.0,0.0,25.5,44.0
36,2585.0,25.0,0.0,0.0,0.0,0.0,0.0
37,2586.0,149.0,0.0,0.0,0.0,0.0,0.0
38,2587.0,6.0,14.0,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334
39,2588.0,67.0,0.0,14.333333333333336,14.333333333333336,30.0,0.0
40,2589.0,58.0,132.28571428571428,108.29824561403507,60.35211267605635,53.09756097560975,144.8148148148148
41,2598.0,58.0,0.0,0.0,0.0,0.0,0.0
42,2602.0,125.0,46.625,63.56521739130435,80.31428571428572,73.30769230769229,89.6
43,2606.0,103.0,77.6470588235294,71.0909090909091,58.07272727272727,85.17460317460319,50.29411764705882
44,2609.0,22.0,61.58333333333334,58.25,61.85046728971962,81.4421052631579,81.4421052631579
45,2610.0,45.0,0.0,0.0,0.0,0.0,0.0
46,2623.0,27.0,11.4,13.916666666666664,16.714285714285715,0.0,0.0
