,CompetitionId,DurationInt,M4_launch,M4_3,M4_7,M4_15,M4_30,M4_deadline,M4_IsClamped
263,3603.0,14.0,44.0,44.0,44.0,44.0,44.0,44.0,1.0
264,3611.0,114.0,5971.0,5951.0,5833.0,5895.0,6065.0,5968.0,
265,3613.0,22.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0
266,3616.0,16.0,107.0,107.0,107.0,107.0,107.0,107.0,1.0
267,3617.0,52.0,5928.0,5895.0,5953.0,6124.0,6128.0,6972.0,
268,3618.0,60.0,90.0,90.0,90.0,90.0,90.0,90.0,1.0
269,3620.0,33.0,81.0,81.0,81.0,81.0,81.0,81.0,1.0
270,3632.0,66.0,331.0,331.0,331.0,331.0,331.0,331.0,1.0
271,3633.0,9.0,46.0,46.0,46.0,46.0,46.0,46.0,1.0
272,3634.0,90.0,5940.0,5921.0,5902.0,6197.0,6490.0,10042.0,
273,3636.0,50.0,42.0,42.0,42.0,42.0,42.0,42.0,1.0
274,3638.0,139.0,5948.0,6032.0,6113.0,6086.0,6357.0,6781.0,
275,3640.0,45.0,133.0,133.0,133.0,133.0,133.0,133.0,1.0
276,3642.0,26.0,68.0,68.0,68.0,68.0,68.0,68.0,1.0
277,3645.0,39.0,5989.0,6078.0,6124.0,6115.0,6451.0,6854.0,
278,3646.0,27.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0
279,3647.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0
280,3648.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0
281,3651.0,20.0,107.0,107.0,107.0,107.0,107.0,107.0,1.0
282,3655.0,48.0,147.0,147.0,147.0,147.0,147.0,147.0,1.0
283,3656.0,50.0,6104.0,6072.0,6106.0,6212.0,6854.0,6272.0,
284,3658.0,16.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
285,3659.0,38.0,238.0,238.0,238.0,238.0,238.0,238.0,1.0
286,3660.0,38.0,112.0,112.0,112.0,112.0,112.0,112.0,1.0
287,3661.0,36.0,293.0,293.0,293.0,293.0,293.0,293.0,1.0
288,3669.0,23.0,238.0,238.0,238.0,238.0,238.0,238.0,1.0
289,3670.0,55.0,6977.0,6927.0,6555.0,6250.0,6019.0,5822.0,
290,3671.0,111.0,240.0,240.0,240.0,240.0,240.0,240.0,1.0
291,3690.0,14.0,172.0,172.0,172.0,172.0,172.0,172.0,1.0
292,3706.0,91.0,5952.0,5956.0,5966.0,5940.0,6197.0,8614.0,
293,3722.0,75.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0
294,3729.0,30.0,6687.0,6771.0,6923.0,7004.0,6235.0,6235.0,
295,3731.0,25.0,6962.0,6969.0,6985.0,6491.0,6157.0,6157.0,
296,3742.0,44.0,59.0,59.0,59.0,59.0,59.0,59.0,1.0
297,3744.0,16.0,51.0,51.0,51.0,51.0,51.0,51.0,1.0
298,3746.0,19.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0
299,3747.0,65.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0
300,3750.0,13.0,117.0,117.0,117.0,117.0,117.0,117.0,1.0
301,3752.0,9.0,345.0,345.0,345.0,345.0,345.0,345.0,1.0
302,3756.0,56.0,5964.0,5961.0,5922.0,6050.0,6382.0,7393.0,
303,3757.0,74.0,119.0,119.0,119.0,119.0,119.0,119.0,1.0
304,3765.0,137.0,38.0,38.0,38.0,38.0,38.0,38.0,1.0
305,3772.0,65.0,5921.0,5870.0,6050.0,6276.0,6593.0,8083.0,
