Id,X14,X15,X25,X26,X27,X31,PrepDays,DurationInt,DayOfYear,DayOfWeek,M28_IsClamped,M28_AU,M28_CA,M28_CN,M28_GB,M28_IN,M28_RU,M28_US,M9_3,M9_D7,M9_D15,M9_D30,M9_Ddeadline,M10_3,M10_7,M10_15,M10_30,M10_deadline,M13_3,M13_D7,M13_D15,M13_D30,M13_Ddeadline,M15,M16_3,M16_D7,M16_D15,M16_D30,M16_Ddeadline,M44,M45,M46,M19,M22_3,M22_7,M22_15,M22_30,M22_deadline,M24_30,M24_deadline,M23_IsClamped,M22_IsClamped,M25,X31_IsImputed,X27_IsClamped,X25_IsClamped,M24_IsImputed
2435,500.0,1,4,4.0,20.0,693.0,0.0,97.0,117,2,1.0,0.3636363636363637,0.6666666666666666,1.0,0.6153846153846154,1.0,1.0,0.78,0.3274336283185841,0.05309734513274333,0.11504424778761065,0.3539823008849557,0.1504424778761062,122.5945945945946,117.18604651162792,83.91891891891892,117.9,29.0,0.005305039787798408,0.017241379310344827,0.07427055702917773,0.07692307692307693,0.8262599469496021,116.0,0.017241379310344827,0.03448275862068965,0.08620689655172414,0.08620689655172414,0.7758620689655172,0.6379310344827587,0.06701030927835051,0.010042659082829721,0.05607476635514018,0.6666666666666666,0.8571428571428571,0.8,0.490566037735849,0.4915254237288136,0.7111111111111111,0.5901060070671378,1.0,,43.0,,1.0,,
2438,100.0,1,5,5.0,20.0,33.0,0.0,9.0,154,4,0.0,0.5555555555555556,0.5,0.0,0.7142857142857143,0.0,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16176470588235295,0.5588235294117647,0.2794117647058824,0.0,0.0,69.0,0.15942028985507245,0.5507246376811594,0.2898550724637681,0.0,0.0,0.6811594202898551,0.10950080515297908,0.0,0.014705882352941175,0.15942028985507245,0.4622641509433962,0.5433070866141733,0.5433070866141733,0.5433070866141733,0.531231960541365,0.35401872459716893,,,10.0,,1.0,,1.0
2439,0.0,1,5,5.0,20.0,2540.0,0.0,110.0,172,1,0.0,0.28,0.4545454545454545,0.375,0.2631578947368421,0.9,0.5,0.3252032520325203,0.2923728813559322,0.012711864406779684,0.016949152542372836,0.09745762711864407,0.5805084745762712,201.3913043478261,195.75,214.5890410958904,78.69565217391305,293.6666666666667,0.005738880918220947,0.04232424677187949,0.035868005738880916,0.05595408895265423,0.8601147776183644,153.0,0.006535947712418301,0.032679738562091505,0.0718954248366013,0.09803921568627452,0.7908496732026143,0.6405228758169934,0.08282828282828282,0.01402257872846108,0.027586206896551724,0.006944444444444444,0.0392156862745098,0.09883720930232558,0.1568627450980392,0.27419354838709675,0.9262672811059908,0.8247422680412371,1.0,,20.0,,1.0,,
2442,100.0,1,5,5.0,20.0,33.0,0.0,9.0,154,4,0.0,0.5555555555555556,0.5,0.0,0.7142857142857143,0.0,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.6031746031746033,0.2857142857142857,0.0,0.0,64.0,0.109375,0.59375,0.296875,0.0,0.0,0.65625,0.109375,0.0,0.015873015873015872,0.10144927536231883,0.4245283018867925,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.5312319605413651,0.3540187245971689,,,10.0,,1.0,,1.0
2445,5000.0,1,2,5.0,20.0,2177.0,0.0,70.0,347,1,0.0,0.36585365853658536,0.2380952380952381,0.25,0.0,0.32,0.3888888888888889,0.20982142857142855,0.29411764705882354,0.2352941176470588,0.07352941176470584,0.058823529411764726,0.3382352941176471,42.25,41.66666666666666,41.67857142857143,17.5,86.3,0.017608217168011742,0.027512839325018343,0.09684519442406456,0.25275128393250185,0.6052824651504035,217.0,0.04147465437788018,0.02304147465437788,0.06451612903225806,0.2073732718894009,0.6635944700460831,0.6958525345622121,0.1794601711652403,0.004476629361421988,0.05392156862745098,0.01171875,0.017632241813602016,0.033532934131736525,0.08075221238938053,0.18265993265993266,0.7937853107344632,0.6533546325878594,,,29.0,,1.0,,
2447,617.0,10,2,2.0,20.0,7810.0,0.0,107.0,215,2,1.0,0.36,0.2,0.42857142857142855,0.6956521739130435,0.18181818181818185,1.0,0.4647887323943662,0.07790368271954674,0.09490084985835694,0.08923512747875356,0.2804532577903682,0.4575070821529745,87.72727272727273,89.8688524590164,90.00540540540541,171.15656565656562,187.64634146341461,0.04052369077306733,0.04551122194513715,0.08697007481296759,0.17799251870324187,0.649002493765586,262.0,0.08778625954198473,0.05725190839694656,0.08778625954198474,0.16793893129770993,0.5992366412213741,0.7480916030534351,0.11443247485196548,0.025183705500463727,0.03571428571428571,0.08243727598566307,0.12709030100334448,0.18944099378881987,0.28,0.406832298136646,0.7272727272727273,0.5919003115264798,1.0,,40.0,,1.0,,
2448,500.0,1,2,2.0,20.0,5.0,0.0,42.0,221,1,1.0,0.1111111111111111,0.375,0.2,0.0625,0.0,1.0,0.11956521739130435,0.625,0.1875,0.0625,0.0,0.125,32.2,38.769230769230774,49.08333333333334,0.0,19.25,0.04670912951167728,0.025477707006369428,0.053078556263269634,0.3014861995753716,0.5732484076433121,60.0,0.05,0.016666666666666663,0.05,0.08333333333333334,0.8,0.6333333333333333,0.1869047619047619,0.012698412698412698,0.07272727272727272,0.009708737864077669,0.012461059190031152,0.01977401129943503,0.03053435114503817,0.133630289532294,0.943127962085308,0.7647058823529411,,,14.0,,1.0,,
2452,500.0,1,3,3.0,20.0,16.0,0.0,63.0,263,1,0.0,0.13043478260869565,0.26666666666666666,0.0,0.043478260869565216,0.0,0.8333333333333334,0.09219858156028367,0.07272727272727272,0.0,0.1818181818181818,0.34545454545454546,0.4,33.75,33.75,43.57142857142857,50.894736842105246,106.0,0.058910162002945514,0.05154639175257732,0.05743740795287186,0.20765832106038293,0.6244477172312224,46.0,0.06521739130434782,0.0,0.043478260869565216,0.2173913043478261,0.6739130434782609,0.6521739130434783,0.2342995169082125,0.018978605935127672,0.07142857142857142,0.006382978723404255,0.006172839506172839,0.009671179883945842,0.02599653379549393,0.07244094488188976,0.8728813559322034,0.7444444444444445,,,16.0,,1.0,,
2454,150.0,1,2,5.0,20.0,33125.0,0.0,121.0,283,7,0.0,0.05,0.4117647058823529,0.16666666666666666,0.07407407407407407,0.0,0.13333333333333333,0.14,0.2727272727272727,0.4545454545454546,0.0,0.18181818181818174,0.09090909090909094,79.16666666666667,60.375,45.0,50.5,0.0,0.030852994555353907,0.01633393829401089,0.023593466424682387,0.10526315789473684,0.8239564428312159,58.0,0.10344827586206896,0.017241379310344834,0.05172413793103449,0.05172413793103448,0.7758620689655172,0.603448275862069,0.07851239669421488,0.003134796238244514,0.017543859649122806,0.0106951871657754,0.01232394366197183,0.017094017094017096,0.021630615640599003,0.05497630331753554,0.8617021276595744,0.6898395721925134,,,20.0,,1.0,,
2464,950.0,1,2,5.0,20.0,8960.0,0.0,65.0,312,1,0.0,0.0967741935483871,0.2222222222222222,0.26666666666666666,0.08333333333333333,0.1176470588235294,0.3333333333333333,0.18857142857142856,0.3469387755102041,0.22448979591836726,0.0,0.08163265306122447,0.3469387755102041,63.0,59.69642857142857,61.06122448979593,34.875,106.625,0.019056261343012703,0.026315789473684213,0.06715063520871144,0.19509981851179672,0.6923774954627949,141.0,0.04964539007092199,0.02836879432624113,0.07092198581560283,0.09219858156028367,0.7588652482269503,0.7092198581560284,0.12024004364429895,0.010692853246044735,0.1111111111111111,0.011513157894736841,0.017432646592709985,0.0328125,0.04795486600846263,0.15597345132743362,0.8790035587188612,0.6475,,,27.0,,1.0,,
